DatetimeUTC,dt,hour,demand,solar
2017-10-30 00:00:00-04:00,1,0,26.467,0.0
2017-10-30 00:01:00-04:00,1,0,26.32,0.0
2017-10-30 00:02:00-04:00,1,0,26.32,0.0
2017-10-30 00:03:00-04:00,1,0,26.32,0.0
2017-10-30 00:04:00-04:00,1,0,26.32,0.0
2017-10-30 00:05:00-04:00,1,0,26.32,0.0
2017-10-30 00:06:00-04:00,1,0,26.188,0.0
2017-10-30 00:07:00-04:00,1,0,26.188,0.0
2017-10-30 00:08:00-04:00,1,0,26.188,0.0
2017-10-30 00:09:00-04:00,1,0,26.188,0.0
2017-10-30 00:10:00-04:00,1,0,26.188,0.0
2017-10-30 00:11:00-04:00,1,0,26.087,0.0
2017-10-30 00:12:00-04:00,1,0,26.087,0.0
2017-10-30 00:13:00-04:00,1,0,26.087,0.0
2017-10-30 00:14:00-04:00,1,0,26.087,0.0
2017-10-30 00:15:00-04:00,1,0,26.087,0.0
2017-10-30 00:16:00-04:00,1,0,26.024,0.0
2017-10-30 00:17:00-04:00,1,0,26.024,0.0
2017-10-30 00:18:00-04:00,1,0,26.024,0.0
2017-10-30 00:19:00-04:00,1,0,26.024,0.0
2017-10-30 00:20:00-04:00,1,0,26.024,0.0
2017-10-30 00:21:00-04:00,1,0,25.994,0.0
2017-10-30 00:22:00-04:00,1,0,25.994,0.0
2017-10-30 00:23:00-04:00,1,0,25.994,0.0
2017-10-30 00:24:00-04:00,1,0,25.994,0.0
2017-10-30 00:25:00-04:00,1,0,25.994,0.0
2017-10-30 00:26:00-04:00,1,0,25.99,0.0
2017-10-30 00:27:00-04:00,1,0,25.99,0.0
2017-10-30 00:28:00-04:00,1,0,25.99,0.0
2017-10-30 00:29:00-04:00,1,0,25.99,0.0
2017-10-30 00:30:00-04:00,1,0,25.99,0.0
2017-10-30 00:31:00-04:00,1,0,25.995,0.0
2017-10-30 00:32:00-04:00,1,0,25.995,0.0
2017-10-30 00:33:00-04:00,1,0,25.995,0.0
2017-10-30 00:34:00-04:00,1,0,25.995,0.0
2017-10-30 00:35:00-04:00,1,0,25.995,0.0
2017-10-30 00:36:00-04:00,1,0,25.997,0.0
2017-10-30 00:37:00-04:00,1,0,25.997,0.0
2017-10-30 00:38:00-04:00,1,0,25.997,0.0
2017-10-30 00:39:00-04:00,1,0,25.997,0.0
2017-10-30 00:40:00-04:00,1,0,25.997,0.0
2017-10-30 00:41:00-04:00,1,0,25.982,0.0
2017-10-30 00:42:00-04:00,1,0,25.982,0.0
2017-10-30 00:43:00-04:00,1,0,25.982,0.0
2017-10-30 00:44:00-04:00,1,0,25.982,0.0
2017-10-30 00:45:00-04:00,1,0,25.982,0.0
2017-10-30 00:46:00-04:00,1,0,25.945,0.0
